index;header;desc;content;url;time;time_interval;level
157;Duygusal Zeka;Bu eğitimde başarı ve mutluluk için IQ’nun yanı sıra EQ’nun yani Duygusal Zekaya sahip olmanın önemini fark edeceksiniz.  EQ'nuzu geliştirdiğinizde hayatınızın her alanına yansıyacak olumlu gelişmeler hakkında farkındalık kazanacaksınız. EQ kavramını daha iyi anlayacak ve geliştirme yolunda ilk adımı atacaksınız.;&nbspBu eğitim duygusal zek&acircnın önemli bileşenlerinden birisi olan&nbspempati kurabilme yetisinin geliştirebilmesi için çeşitli ipuçları vermektedir. Bu eğitim duygusal zek&acircnın temel bileşenlerinden olan duygularını yönetmek becerisinin geliştirilebilmesi için çeşitli ipuçları vermektedir. Bu eğitim duygusal zek&acircnın temeli olan duygularını tanıma ve farkında olma yetisinin geliştirilebilmesi için çeşitli ipuçları vermektedir. <p>EQ, tıpkı IQ gibi bizi başarıya taşır. Nasıl mı? Bu eğitimde bu sorunun cevabını bulacak ve EQ'nuzu geliştirirseniz hayatınızın her alanına yansıyacak olumlu gelişmeler hakkında farkındalık kazanacaksınız. EQ kavramını daha iyi anlayacak ve geliştirme yolunda ilk adımı atacaksınız.</p> Bu eğitim duygusal zek&acircnın son adımı olan ilişkileri yönetme yetisinin geliştirilebilmesi için çeşitli ipuçları vermektedir.;A;84;1-2 saat;Başlangıç
158;Duygusal Zeka Video Serisi;Duygusal zeka aslında duygularla akıllı olmaktır. Sokaklara nezaketi, insan ilişkilerine şefkati getirmektir. Bu video serisinde duygusal zeka ve ilişkileri yönetebilmek, duygusal zeka ve sosyal beceriler gibi duygusal zeka ile ilgili bilgilere ulaşabileceksiniz.;Bu videoda duygusal zeka bir kavram olarak ele alınır ve duyguların yönetilememesi amigdala korsanlığı kavramı ile tanımlanarak,&nbsp duygusal zekanın tam olarak ne olduğu konusuna açıklık getirilir. Bu videoda duygusal zeka için kişinin kendisini bilmesinin önemi vurgulanmakta ve kişinin kendisini tanıması için neler yapabileceğinin ipuçları yer almaktadır.&nbsp Bu test ile kendi duygusal zekanızı test edebilir ve geliştirmeniz gereken yönlerinizi görebilirsiniz. Bu videoda, özgüvenin duygusal zeka yeterlilikleri arasındaki ilişkiye dikkat çekiliyor. Biyolojik özgüven, psikolojik özgüven ve toplumsal özgüvenin tanımlarını ve özgüveni geliştirmenin ipuçlarını öğrenebilirsiniz.&nbsp Bu videoda, duygular ve duygusal zekanın arasındaki ilişkiye dikkat çekiliyor. Transaksiyonel Analiz yaklaşımı ile raket duygular ve otantik duyguların tanımlarını ve duyguların farkındalığının önemi açıklanmaktadır. Bu videoda güvenilirlik, vicdanlılık, esneklik, uyum ve yenilikçilik ile duygusal zeka arasındaki ilişki vurgulanmaktadır. Güvenin kişiler için önemi anlatılırken, güvenilir olmak için neler yapması gerektiği de açıklanmaktadır. Bu videoda, ilişkileri yönetmenin duygusal zekanın göstergesi olduğu anlatılmaktadır. Empatinin, empatik ilginin ne olduğu ve önemi ayrıca vurgulanmaktaıdr.&nbsp &nbsp Bu videoda, başkalarının geliştirme ve dayanışma, kolektif akla değer vermek gibi konuların duygusal zeka göstergesi olduğu vurgulanmaktadır.&nbsp Bu videoda çeşitlik kültürüne adaptasyon ve kolektif akla değer vermek gibi konuların duygusal zeka göstergesi olduğunu ve bu kavramlar konusunda gösterilen çabanın duygusal zeka gelişimine sağlayacağı katkılar ele alındı. Bu videoda dinlemenin duygusal zeka ile ilişkisi anlatılmaktadır. Dinlemek iletişimin en önemli becerisi dinleme becerisidir ve bu videoda dinlemenin seviyeleri detaylı bir şekilde anlatılmaktadır.&nbsp Bu videoda şiddetsiz iletişim kuramından ve Transaksiyonel Analiz'de yer alan pozisyonlar detaylı bir şekilde anlatılmaktadır.&nbsp&nbsp Bu videoda duygularını yönetme becerisine sahip olan kişilerin ortak özelliklerinden birisi de çatışmadan ziyade uzlaşma kültürüne yatkınlığı ve bunun faydaları açıklanmaktadır.&nbsp Bu videoda değişim ve değişim yönetiminin önemi ve değişime direnme ile duygusal zeka arasındaki ilişki açıklanmaktadır.&nbsp;A;58;30-60 dk;İleri
159;Duygusal Zekadan Faydalanmak;Duygusal farkındalık, öz yönetim ve sosyal becerilere sahip liderler organizasyonel ilişkilerde daha başarılı olurlar. Bu ders duygusal zekanızı geliştirmek için pratik teknikler sunar.;Duygusal farkındalık, öz yönetim ve sosyal becerilere sahip liderler organizasyonel ilişkilerde daha iyi gezinebilir. Bu ders duygusal zekanızı geliştirmek için pratik teknikler sunar. ;A;19;0-30 dk;İleri
160;Duygusal Zekası Yüksek Lider Olma Yolunda;Başarılı bir yöneticilik duygusal zekanın geliştirilmesini gerektirir. Bu beceri, insanların herhangi bir durumla neden ve nasıl ilişki kurduğunu ve buna göre aldıkları tavrı anlayabilmektir. Bu derste, duygusal zekayı ve duygusal zekası yüksek liderlerin ortak özelliklerini öğreneceksiniz. Duyguların değerini ve sağlam ilişkiler kurmayı nasıl etkilediklerini göreceksiniz. Ayrıca, öz farkındalık ve öz denetim gibi duygusal zeka yetkinliklerinizi geliştirmenin yollarından da bahsedeceğiz. ;Başarı bir yöneticilik duygusal zekanın geliştirilmesini gerektirir. Bu beceri, insanların herhangi bir durumla neden ve nasıl ilişki kurduğunu ve buna göre aldıkları tavrı anlayabilmektir. <br /><br />  Bu derste duygusal zekayı ve duygusal zekası yüksek liderlerin ortak özelliklerini öğreneceksiniz. Duyguların değerini ve sağlam ilişkiler kurmayı nasıl etkilediklerini göreceksiniz. Ayrıca, öz farkındalık ve öz denetim gibi duygusal zeka yetkinliklerinizi geliştirmenin yollarından bahsedeceğiz. ;A;52;30-60 dk;İleri
161;Düzenli Olup Ertelemelerden Kaçınmak;Erteleme alışkanlığı, hem verimliliğinizi düşürür hem de strese sebep olur. Ertelemek, siz onlardan titizlikle kaçarken acil ve zor işlerin birikmesine neden olan kötü bir alışkanlıktır. Organizasyonel beceriler geliştirip uygulayarak, programınızı düzenleyebilir ve dikkatinizi gerektiren işleri ertelemekten kaçınırsınız. Bu eğitimde, insanların neden işlerini ertelediğini ve zamanınızı organize etmenin faydalarını öğreneceksiniz. Öz disiplin geliştirmeyi, zaman israfçılarıyla savaşmayı ve gününüzü daha organize hale getirmeyi öğreneceksiniz ve son olarak, önceliklerin nasıl belirlendiğini ve gerektiğinde nasıl hayır diyeceğinizi keşfedeceksiniz.;Erteleme yapmak, hem verimliliğinizi düşürür hem de strese sebep olur. Erteleme yapmak, siz onlardan titizlikle kaçarken acil ve zor işlerin birikmesine neden olan kötü bir alışkanlıktır. Organizasyonel beceriler geliştirip uygulayarak, programınızı düzenleyebilir ve dikkatinizi gerektiren işleri ertelemekten kaçınırsınız. Bu eğitimde, insanların neden erteleme yaptığını ve zamanınızı organize etmenin faydalarını öğreneceksiniz. Öz disiplin geliştirmeyi, zaman israfçılarıyla savaşmayı ve gününüzü daha organize hale getirmeyi öğreneceksiniz. Ve son olarak, önceliklerin nasıl belirlendiğini ve gerektiğinde nasıl hayır diyeceğinizi keşfedeceksiniz.;A;18;0-30 dk;İleri
162;E-Dönüşüm - (İşaret Dili);Teknoloji çağında her şey dijitale dönüşmeye devam ediyor. Teknolojinin yaygınlaşmasıyla birlikte kurumlar için e-imza, e-fatura, e-defter gibi kavramları hayatımıza dahil oldu. İşlemlerin hızlı olması, zaman ve kağıt tasarrufunun olması e-dönüşümün en önemli özelliklerindendir. Bu eğitimde sizlere e-dönüşüm kavramları ve nasıl kullanıldıkları aktarılacaktır.;Elektronik imza, mobil imza ve nasıl sahip olunacağı, kullanıma alanları konuları ele alınmaktadır. Özel Entagratör seçimi ve bu sırada dikkat edilmesi gereken konular ele alınmaktadır. Özel Entagratör seçimi ve bu sırada dikkat edilmesi gereken konular ele alınmaktadır. e-Arşiv kavramı ve e-Arşivin e-Faturayla farkları ele alınmaktadır. Kayıtlı Elektronik Posta ve Elektronik Tebligat Yönetim Sistemi kavramları ele alınmaktadır. e-Fatura ve bu uygulamanın kapsamı ele alınmaktadır. e-Defter ve bu uygulamanın kapsamı ele alınmaktadır.;A;30;30-60 dk;Başlangıç
163;Eğiticinin Eğitimi;Eğitmen olan veya olmak isteyen eğitmenlerin faydalanabileceği bir eğitim seti hazırladık. Bu eğitim sayesinde daha başarılı bir eğitmen olmak isteyenler, eğitim yöntem ve teknikleri hakkında daha fazla bilgi sahibi olabilecekler. Eğitimin amacı, eğitim içeriğinin ve eğitim ortamının hazırlanması gibi konular hakkında kendinizi geliştirebileceksiniz.;Eğitim eğitmen olmanın iletişim yetkinliğini, sahne becerilerini geliştirdiğini, yaratıcılığı ortaya çıkartığını vurgularken bildiklerinizi aktarma, paylaşma, insanlara bir şeyler katma ve sevme gerektirdiği konusunda farkındalık sağlıyor.  Eğitimde öncelikle katılımcıların bu eğitime neden ihtiyaç duyduğunun belirlenmesi gerektiği ve buna göre eğitim amaç, hedef ve kazanımlarının nasıl oluşturulacağı ayrıca katılımcılarınızın öğrendiklerini gündelik hayatlarına nasıl uygulayacakları konusunda gerekli destek verilmektedir.  Eğitimde içeriğin ve yöntemlerin belirlenmesi, zihin haritasının hazırlanması, görsel destek kullanılacaksa görsel öğelerin tüm slaytlarda belli bir çizgiyi takip ederek tutarlı olması ve prova yapılıp gözünüzde canlandırılması gibi konulara değiniliyor.  Eğitim çeşitli kaynaklardan konuyla ilgili edindiğiniz her türlü bilginin, ana bölümler ve altında yer almasını uygun gördüğünüz yan bölümlerin belirlenmesi, örneklerin seçilmesi konusunu irdelerken konu hakkındaki bilginizin, fikirlerinizin ve yorumlarınızın da eğitimin içeriğindeki önemini belirtiyor.  öğretmek değil, öğrenmeye rehberlik etmek önemlidir. Bir bilginin öğrenmeye değer olması, kısa vadede gündelik hayatta kullanılması, şimdiye kadar edindiği tecrübeler ile ölçülmesi gibi eğitimin kabul görmesi açısından önemli konular bu videoda anlatılıyor.  Eğitimde dikkatin önemi ve odaklanmış dikkat, aralıksız dikkat gibi konular aktarılırken  düz anlatım, interaktivite, grup çalışması, oyun oynatmak, beyin fırtınası, videolar, ve hikaye anlatmak gibi yöntemler üzerinde de duruluyor.  Eğitim salonunuz vereceğiniz eğitimin atmosferini belirleyici bir öneme sahiptir. Eğitimde oturma düzeni, bilgisayarın projeksiyon cihazına bağlanması, ışıklandırma, yazı tahtası, kağıtlar, salonun internet bağlantısı gibi konular üzerinde duruluyor. Eğitimde U düzen, sinema ya da sınıf düzeni,  yuvarlak masa düzeni gibi oturma düzeni ve kullanım yararları aktarılırken salonun ortamı ile ilgili önemli noktalara da değiniliyor. Bu eğitimde eğitim sunum perfonması için önemli olan salona erken gelme, katılımcılarla tanışma, sesin nasıl kullanılması gerektiği gibi konular üzerinde duruluyor.  Eğitimde sunum sırasında yapılması ve yapılmaması gerekenler, eğitime fiziksel ve zihinsel olarak hazır olmak, konuşurken el ve kolların kullanımı, göz teması ve teknikleri anlatılıyor.  Eğitimde salona girdiğimiz andan itibaren beden dilini etkili kullanmakla ilgili detaylar ve sahnede dik ve özgüvenli bir duruş sergilemek için dikkat edilmesi gereken noktalar aktarılarak farkındalık oluşturuluyor.  Eğitimde interaktviteyi artırmak adına soru sormaya karar verdiğinizde sorularınızın nasıl olması gerektiği ve cevaplar karşısındaki tutumumuz aktarılırken açık uçlu-kapalı uçlu sorular hakkında da bilgiler veriliyor.   İnsanı davranışlarını genellemek temelde doğru değildir ancak zor durumlara yol açabilecek katılımcıların öne çıkan davranış kalıpları vardır. Eğitimde bu kalıp sayılabilecek sorunlar ve çözümleri aktarılıyor.  Eğitimde hayatımızda git gide daha büyük ve kalıcı bir yer edinmeye başlayan e-learning, e-eğitim ya da dijital tabanlı uzaktan eğitim, b-learning ya da bütünleşik eğitim,  webinar gibi kavramlar ve teknolojiler tanıtılıyor.  İşinizi iyi yaparsanız başarılı olursunuz. Başarılı olursanız tercih edilirsiniz.  Eğitimde eğitimin teknik konularından değil, işinizi kolaylaştıracak bizi başarıya ulaştıracak minik tüyolardan bahsediliyor. ;A;78;1-2 saat;Başlangıç
164;Eğitim Filmleri;Bu eğitim paketimizde kişisel gelişim üzerinde birçok eğitim filmi bulunuyor. Bu eğitim filmleri içinde stresle başa çıkma yöntemleri, temel satış becerileri, karar verme, telefonda iletişim gibi yararlı eğitimler bulunmaktadır. Bu eğitimleri izleyerek konular hakkında bilgi sahibi olabilirsiniz.;Bu film, işe ve hayata yürekten adanmanın başarıyı ve olumlu enerjiyi de beraberinde getireceğini vurgulamak amacıyla hazırlanmıştır. Bu film, başarının anahtarı olan olumlu düşüncenin gerekliliğini vurgulamak amacıyla hazırlanmıştır. Bu film, doğru yönetici olmanın, çalışanları motive etmek için doğru yöntemler kullanmanın ve çalışanların ihtiyaçlarını karşılamanın önemini vurgulamak için hazırlanmıştır. Bu film, kendi talihini yaratan kişilerin daha mutlu ve başarılı olacağını vurgulamak amacıyla hazırlanmıştır. Bu film, değişim sırasında çalışanların endişeleri karşısında nasıl bir değişim yönetimi yapılabileceğini göstermek amacıyla hazırlanmıştır. Bu film, iletişimde empatinin önemini vurgulamak amacıyla hazırlanmıştır. Bu film, yazılı iletişim sırasında dikkat edilmesi gereken unsurların olduğunu vurgulamak amacıyla hazırlanmıştır. Bu film, yaşamdaki ve iş hayatındaki zor insanlarla başa çıkmanın imkânsız olmadığını göstermek için hazırlanmıştır. Bu film müzakere öncesi hazırlık yapmanın, kurum imajı, kişisel marka yönetimi için önemini ve iyi bir hazırlık sürecinin müzakereye katkılarını vurgulamak amacıyla hazırlanmıştır. Bu film, müzakere öncesi hazırlık yapmanın ve müzakere yönetiminin önemini vurgulamak amacıyla hazırlanmıştır. Bu film, kendini tanımanın ilk adımı olan iyi iletişim kurma ve insanları anlamayla kendini tanıyabilmenin mümkün olduğunu vurgulamak amacıyla hazırlanmıştır. Bu film, duygusal zeka ile bilişsel zekanın işlevlerini, farklarını ve duygusal zekanın iş hayatındaki önemini vurgulamak amacıyla hazırlanmıştır. Bu film, karar vermenin kişisel ve profesyonel hayatta önemli bir sorumluluk olduğunu vurgulamak amacıyla hazırlanmıştır. Bu film, telefonda iletişim tekniklerini bilerek, farklı insan tipleriyle bile iyi bir iletişim kurabileceğinizi göstermek amacıyla hazırlanmıştır. Bu film, müşteri memnuniyetinin önemini vurgulamak amacıyla hazırlanmıştır. Bu film, iş yaşamında profesyonel davranışın önemini vurgulamak amacıyla hazırlanmıştır. Bu film, profesyonel hayatta kişisel imajın önemini vurgulamak amacıyla hazırlanmıştır. Bu film, olayları olumlu algılamanın önemini vurgulamak amacıyla hazırlanmıştır. Bu film, doğru yöntemleri kullanarak stresle başa çıkılabileceğini vurgulamak amacıyla hazırlanmıştır. Bu film, içimizdeki yaratıcılık ve yenilikçilik gücünü ortaya koyabilmenin önemini vurgulamak amacıyla hazırlanmıştır. Bu film, temel satış becerilerinin temellerini vurgulamak amacıyla hazırlanmıştır.;A;166;2+ saat;Başlangıç
165;Eğitimde Zamanın Ruhu - Çocuk Gelişimi;Gelişim, kişinin yaşam boyu sürekli ilerlediği ve değişerek geçirdiği süreçtir. Uzmanlar tarafından belirtilen gelişimin en kritik dönemi okul öncesi dönemdir. Çocuklarda gelişim, algılama ve keşfetme ile başlamaktadır. Çocuk gelişimi eğitimi, çocukların öğrenme kabiliyetlerinin geliştirilmesi ve kişisel becerilerinin oluşması için önemlidir. Çocuk gelişimi eğitiminde erken çocuklukta dil öğrenme, büyüme ve öğrenme, oyun ve çocuk hakkında bilgilendirme sağlamaktadır.;Bu video sonunda Çocuğunuza yabancı dil öğretmeli misiniz? Yabancı dil öğrenmek küçük yaşta gerekli midir? sorularının cevaplarını alabileceksiniz. Bu videomuzda büyüme ve öğrenmenin ilişkisini açıklayacağız. Öğrenmenin fizyolojisi, insanın nasıl büyüdüğünü, beynimizin nasıl yaşadığını anlamak demektir. Bu videoyu izledikten sonra öğrenme fizyolojisi hakkında farkındalığa sahip olabileceksiniz. Bu videomuzda sosyal ve duygusal becerilerin nasıl geliştiğini aktaracağız. Çocukların eş değer olmayan ödül ve ceza yerine eş değer yaptırımlarla karşılıklılık ilkesini öğrenmesi gerekir. Bu video sonunda Ödül ve ceza vermeli miyim? sorusunun cevabını alabileceksiniz. Oyun öğrenmek için kilit/anahtar kavramlardandır. Oyun, mutlu hissetmeyi sağlıyor. Beynimiz mutlu olduğu şeyleri saklar bu yüzden de oynarken öğrenebiliriz. Oyun yolula öğrenme kalıcı öğrenmeyi sağlar.;A;63;1-2 saat;İleri
166;Eğitimde Zamanın Ruhu - Okul Yaşamı;Eğitim, insanın öğrenme yeteneğinin oluşmasıyla başlayan ve hayatı boyunca devam eden bir süreçtir. Bir ebeveyn olarak çocuğunuzun ilk kez okula başlaması hakkında veya eğitim hayatına devam eden çocuğunuz için okul yaşamı hakkında bilgi almak istiyorsanız bu eğitim tam size göre! Bu video serimizde Kayhan Karlı ile velilere yol gösterecek ipuçları keşfedeceksiniz. Bu eğitimin sonunda ise ebeveyn olarak çocuklarınızın okul öncesi döneminden üniversiteye kadar olan eğitim hayatında okul ile ilgili neler yapılması gerektiği hakkında bilgiler edinip farkındalık kazanacaksınız.;Dünyayı etkileyen Covid-19 Salgını sonrasında en merak edillen konulardan birisi eğitim oldu. Bu videomuzda salgın sonrasında eğitim ve okul durumu ne olacak bunlardan bahsedeceğiz. Okulun salgın öncesinden daha da gerekli olduğuna inanıyoruz. Okul hayatımızda her daim olmaya devam edecek. Okul meslek edinmek için değil, yaşamı anlamak için varolacak. Bu videomuzda sizlere okul seçiminin formülünü aktaracağız. Okul seçimi için en önemli iki faktör uzman görüşü almak ve kullanıcı deneyimlerini dinlemektir. Öncelikle güvendiğiniz uzmanlara danışıp elinizde birkaç seçenek oluşturduktan sonra bu okulları gidip yerinde görün ve o okuldaki velilerden yardım alın. 0-6 yaş arasında beyin gelişiminin %90'ını, 6-10 yaş arasında ise davranış, tutum ve becerilerinin %95'i gelişiyor. Bu yıllarda çocukların hayatına anaokulu ve ilkokul öğretmenleri dahil oluyor. İşte bu yüzden öğretmen seçimi önemlidir. Bu videoda öğretmen seçiminde dikkat edilmesi gerekenlerden bahsedeceğiz. Okula başlayacak çocuklar için okul seçiminin önemi büyüktür. Bu videomuzda okul seçiminde dikkat edilmesi gerekenlerden bahsedeceğiz. Bu videomuzda Sınavlar ne işe yarar? sorusunun cevabını alabileceksiniz. Sınav bir eleme aracıdır. Çocuklarımızı  sınava göre değil yaşantıları boyunca karşılaşabilecekleri zorluklara göre hazırlamamız gerekir. Çocuğunuzun üniversiteye gidiyor olmasından kaygı duymanıza gerek yok. Siz buna hazır mısınız, kendinizi sorgulayın. Bu video çocuğu üniversiteye geçen ebeveynler için hazırlandı. Bugün okullarımızda spor ve sanatın çok az olduğunu görüyoruz. Ebeveyn olarak çocuğun spor ve sanatla olan bağı kurabilmek de bize düşüyor. Bu videomuzda çocuğun spor ve sanatla bağını kurmayı ve okulları bilgilendirmekten bahsedeceğiz.;A;73;1-2 saat;İleri
167;Eğitimde Zamanın Ruhu - Yeni Nesil Çocuklar;Yeni nesil çocuklar için geleneksel ebeveyn tarzından uzaklaşıp geliştiren ebeveyn olmamız gerekir. Bu video serimizde Kayhan Karlı, çocukların yılmazlık duygusunu geliştirebilmek ve girişimci ruhlu olmasını sağlayabilmek için tavsiyelerde bulunuyor.;Geleştiren ebeveynler davranışa odaklanır. Bu videomuzda geliştiren ebeveyn özelliklerinden ve geleneksel ebeveyn özelliklerinden bahsedeceğiz. Siz de geliştirren ebeveyn olmak istiyorsanız bu eğitim tam size göre. Okullar çocuklara yılmazlık kazandırmalı. Peki yılmazlığı nasıl kazandıracak? Karşısına çıkan her duruma uyumlanabilmesi için beceri kazandırarak. Bu video sonunda siz de çocuğunuzun yılmazlık becerisini geliştirmek için bilgiye sahip olabileceksiniz. Karar verme otonomisini geliştirmek isteyen bir ebeveyn iseniz bu video tam size göre. Karar verme otonomisini geliştirmek istiyorsanız çocuğunuzla kurduğunuz ilişki içerisinde kararı paylaşmayı öğrenmeniz gerekiyor. Girişimcilik sadece para kazanmak ya da sadece para kazandıracak işler yapmak değildir. Girişimcilik, problemler karşısında sızlanmak yerine bu problemleri fırsat olarak görüp problemi çözebilme yetisidir. Çocukların ve gençlerin büyürken girişimci ruha sahip olmaları meslekle ilgili seçimler yapacağı zamana kadar bu şekilde bakış açısı geliştirmeleri onların ilgi duyduğu alanı seçebilmelerini sağlar. Bu video sonunda siz deçocuğunuzu girişimci ruhlu yetiştirebilmek için gerekli bilgileri öğrenebileceksiniz. Çocukların problem temelli öğrenmeyle bir sorunu çözmesi çok önemlidir. Bu videoda problem/sorun çözen çocuklar yetiştirmekten bahsedeceğiz. Bu videomuzda Çocuğumla arkadaş olmalı mıyım? sorusunun cevabını öğreneceğiz. Bu videomuzda okul başarısının ne olduğundan bahsedeceğiz. Sosyo-ekonomik düzeyi yüksesk olan bir ebeveyn olmak nedir, bu videomuzda bunu açıklayacağız.;A;76;1-2 saat;İleri
